date,site,article,stock_units,retail_value,cost_value,currency
20250111,0212,000000060505643011,2,12.5,10.5,GBP
20250118,0212,000000060505643011,4,25.0,21.0,GBP
20250125,0212,000000060505643011,10,62.5,52.5,GBP
20250111,0215,000000060505643011,2,12.5,10.5,GBP
20250118,0215,000000060505643011,4,25.0,21.0,GBP
20250125,0215,000000060505643011,10,62.5,52.5,GBP
20250201,0212,000000123456789012,100,150.0,120.0,GBP
20250202,0213,000000123456789013,200,300.0,240.0,GBP
20250203,0214,000000123456789014,150,225.5,180.5,GBP
20250204,0215,000000123456789015,50,75.0,60.0,GBP
20250205,0216,000000123456789016,300,450.0,360.0,GBP
02025020,0333,000000223456789013,50,75.5,60.5,GBP
20250203,0334,000000223456789014,50,75.5,60.5,GBP
00000000,0335,000000223456789015,50,75.5,60.5,GBP
00000000,0336,000000223456789016,50,75.5,60.5,GBP
00000000,0337,000000223456789017,50,75.5,60.5,GBP
05022025,0338,000000223456789018,50,75.5,60.5,GBP
00000000,0401,000000223456789019,20,30.0,25.0,GBP
00000000,0402,000000223456789020,20,30.0,25.0,GBP
20250208,0001,000000323456789015,10,15.0,12.0,GBP
20250209,0022,000000323456789016,10,15.0,12.0,GBP
20250210,0333,000000323456789017,10,15.0,12.0,GBP
20250211,5555,000000323456789018,10,15.0,12.0,GBP
20250212,0nan,000000323456789019,10,15.0,12.0,GBP
20250213,A123,000000323456789020,10,15.0,12.0,GBP
20250214,0600,000000000000000123,15,22.5,18.5,GBP
20250215,0601,000000123456789012,15,22.5,18.5,GBP
20250216,0602,000000789012345678,15,22.5,18.5,GBP
20250217,0603,000000567890123456,15,22.5,18.5,GBP
20250218,0604,000000000000000nan,15,22.5,18.5,GBP
20250219,0605,000000000001234567,15,22.5,18.5,GBP
20250220,0700,000000987654321000,12,20.0,16.0,GBP
20250221,0701,000000987654321001,0,20.0,16.0,GBP
20250222,0702,000000987654321002,0,20.0,16.0,GBP
20250223,0703,000000987654321003,0,20.0,16.0,GBP
20250224,0800,000000987654321004,10,0.0,15.0,GBP
20250225,0801,000000987654321005,10,0.0,15.0,GBP
20250226,0802,000000987654321006,10,,15.0,GBP
20250227,0803,000000987654321007,10,19.99,0.0,GBP
20250228,0804,000000987654321008,10,19.99,,GBP
20250301,0900,000000ABCDEF123456,5,10.0,8.0,GBP
20250302,0901,000000ABCDEF123457,5,10.0,8.0,gbp
20250303,0902,000000ABCDEF123458,5,10.0,8.0,GBP
20250304,0903,000000ABCDEF123459,5,10.0,8.0,GBP
02025030,0011,000000ABCDEF123460,2,4.0,3.0,GBP
20250305,1010,000000ABCDEF123461,2,4.0,3.0,GBP
20250306,0nan,000000000000000nan,3,6.0,5.0,GBP
00000000,1012,000000000000012345,1,2.0,1.5,GBP
20250308,1013,0000000ABCDEF12346,0,0.0,0.0,GBP
20250309,1014,000000ABCDEF123463,0,,,GBP
