date,site,article,stock_units,retail_value,cost_value,currency
2025-02-04,0335,000000223456789015,50,75.5,60.5,GBP
,0336,000000223456789016,50,75.5,60.5,GBP
20250208,1,000000323456789015,10,15.0,12.0,GBP
20250211,55555,000000323456789018,10,15,12,GBP
20250212,,000000323456789019,10,15,12,GBP
20250213,A123,000000323456789020,10,15,12,GBP
20250218,0604,,15,22.5,18.5,GBP
20250222,0702,0000009876543210,,20,16,GBP
20250223,0703,0000009876543210,,20,16,GBP
20250225,0801,000000987654321005,10,ERR,15,GBP
20250227,0803,000000987654321007,10,19.99,?,GBP
20250301,0900,000000ABCDEF123456,5,10,8,USD
20250303,0902,000000ABCDEF123458,5,10,8,EURO
20250304,0903,000000ABCDEF123459,5,10,8,
20250300,0011,0000000000ABCDEF16,2,4.0,3.0,GBP
20250306,,,3,6.0,5.0,GBP
20250308,1013,'000000ABCDEF123462','4','8.0','6.0','USD'
20250309,1014,000000ABCDEF123463,,,,
